"","Sites","Richness","sd"
"415",415,2213.151,331.27305056861
"416",416,2216.062,330.692884622485
"417",417,2218.753,330.941009762983
"418",418,2221.405,330.785683098805
"419",419,2224.437,330.690326624658
"420",420,2227.275,330.51854393193
"421",421,2230.833,330.6732888138
"422",422,2233.467,330.253184809893
"423",423,2237.64,330.600531020613
"424",424,2240.857,331.083017558309
"425",425,2243.968,330.338908956803
"426",426,2247.225,330.142075726747
"427",427,2250.594,329.839399091729
"428",428,2253.665,329.552966809484
"429",429,2257.24,329.297916054016
"430",430,2261.324,330.657174716036
"431",431,2264.167,330.761228231335
"432",432,2266.648,330.384569948507
"433",433,2269.943,330.883320103209
"434",434,2273.95,331.482730018172
"435",435,2277.683,331.398423995085
"436",436,2280.781,331.552134447747
"437",437,2283.803,331.146868382353
"438",438,2286.777,330.790970156286
"439",439,2290.418,330.433226830162
"440",440,2293.976,330.376876164638
"441",441,2296.94,329.945484015803
"442",442,2301.273,330.56847094813
"443",443,2304.63,330.390979446018
"444",444,2307.89,330.57970421797
"445",445,2310.697,330.214570929046
"446",446,2313.453,329.753880056645
"447",447,2317.032,329.749188783693
"448",448,2321.047,330.621516810958
"449",449,2323.947,330.698233307214
"450",450,2326.665,330.318108537555
"451",451,2329.277,330.666382517981
"452",452,2332.523,329.732793616568
"453",453,2335.504,329.824869329813
"454",454,2338.379,329.737589966988
"455",455,2341.378,329.538542156705
"456",456,2343.998,329.551966303487
"457",457,2347.647,330.217767791446
"458",458,2350.846,330.420189736925
"459",459,2353.972,330.82077262409
"460",460,2357.886,331.168769297103
"461",461,2361.825,331.722791477139
"462",462,2365.012,331.593788084603
"463",463,2368.976,330.868262653327
"464",464,2371.456,330.745074594269
"465",465,2375.801,330.716499137557
"466",466,2378.587,330.560612822747
"467",467,2381.572,330.481519681284
"468",468,2385.452,330.965747505723
"469",469,2388.198,330.655742451293
"470",470,2390.627,330.302709269468
"471",471,2393.777,330.383111359027
"472",472,2397.113,330.42317065046
"473",473,2400.933,330.676699497546
"474",474,2404.04,330.030144526672
"475",475,2407.748,329.765303893014
"476",476,2410.537,329.905398869438
"477",477,2414.258,330.079553968355
"478",478,2417.485,330.341916136231
"479",479,2421.269,330.747769041192
"480",480,2424.359,331.038869095235
"481",481,2427.149,331.088819813665
"482",482,2430.913,331.577389150702
"483",483,2434.32,331.279331675847
"484",484,2437.216,331.062746146234
"485",485,2439.872,331.057455216847
"486",486,2442.288,330.781198463965
"487",487,2445.213,330.551772200824
"488",488,2448.44,331.152412523781
"489",489,2451.893,330.917149314916
"490",490,2454.391,330.488875782553
"491",491,2456.667,330.071193993211
"492",492,2458.93,329.543332367548
"493",493,2461.863,329.622777438706
"494",494,2464.914,330.267648011917
"495",495,2467.421,330.131753598065
"496",496,2470.619,329.749469372661
"497",497,2473.267,329.688061550504
"498",498,2475.735,329.451731241798
"499",499,2478.805,329.436466348764
"500",500,2482.375,329.500547777976
"501",501,2487.274,329.915384735367
"502",502,2489.975,329.446796260893
"503",503,2493.999,329.44646905829
"504",504,2496.626,329.36259022518
"505",505,2499.039,329.146412466914
"506",506,2501.727,328.88795319494
"507",507,2504.065,328.643090686623
"508",508,2507.681,329.442969129573
"509",509,2511.323,330.154995406691
"510",510,2514.878,330.758916095359
"511",511,2517.527,330.673646260677
"512",512,2520.607,330.483103399603
"513",513,2524.357,330.335358385989
"514",514,2527.595,330.311699450373
"515",515,2530.357,330.061773499031
"516",516,2532.765,329.801104521412
"517",517,2535.418,329.388247959598
"518",518,2539.166,329.418018139073
"519",519,2542.474,328.96177159538
"520",520,2544.921,328.933589140825
"521",521,2547.508,328.740719103059
"522",522,2551.538,328.565704202338
"523",523,2554.112,327.999040893151
"524",524,2556.995,327.777300821661
"525",525,2559.164,327.546741659831
"526",526,2561.405,327.712707403289
"527",527,2564.494,327.504844830405
"528",528,2567.082,327.22678167082
"529",529,2569.557,327.04987750093
"530",530,2571.938,327.015524569262
"531",531,2574.997,327.215912272378
