rec,name_verbatim,scientificName,sciname_sensu_stricto,taxonRank,TR_w_TCID,reference,ref2,year_published,qualifier,qual2,QUAL_LEVEL,qual2_interp,typeStatus,incl_in_analysis,data_source,individualCount,samplingMethod,nod_assoc,cat_note,CAT_ED,CAT_EXPANDED,temp_name_cat,size_cat,descr_id_with,description_dets,IMAGERY ONLY.ID,short_checklist,spp_habitat_info,other_rank,Match.type,taxon_note,Taxon.status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,depth,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,site_notes,multi-exped-year,year_est,date_year,expedition,
1099,Ophiohelidae sp 32,Ophiohelidae,Ophiohelidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,864780,Ophiohelidae,"Perrier, 1893",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophiohelidae,,,,,,APEI-3,,,,,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1100,Ophioleucidae sp 33,Ophioleucidae,Ophioleucidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,123198,Ophioleucidae,"Matsumoto, 1915",Animalia,Echinodermata,Ophiuroidea,Ophioleucida,Ophioleucidae,,,,,,UK-1,,,,,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1101,Ophioleucidae sp 34,Ophioleucidae,Ophioleucidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,123198,Ophioleucidae,"Matsumoto, 1915",Animalia,Echinodermata,Ophiuroidea,Ophioleucida,Ophioleucidae,,,,,,BGR,,,,,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1102,Ophioleucidae sp 35,Ophioleucidae,Ophioleucidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,123198,Ophioleucidae,"Matsumoto, 1915",Animalia,Echinodermata,Ophiuroidea,Ophioleucida,Ophioleucidae,,,,,,UK-1,BGR,,GSR,IOM,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1103,Ophioleucidae sp 37,Ophioleucidae,Ophioleucidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,123198,Ophioleucidae,"Matsumoto, 1915",Animalia,Echinodermata,Ophiuroidea,Ophioleucida,Ophioleucidae,,,,,,APEI-3,,,,GSR,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1104,Ophiocymbium sp 39,Ophiocymbium,Ophiocymbium,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,182840,Ophiocymbium,"Lyman, 1880",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophioscolecidae,Ophiocymbium,,,,,UK-1,BGR,,,,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1105,Ophiotholia sp 40,Ophiocymbium,Ophiocymbium,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,182840,Ophiocymbium,"Lyman, 1880",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophioscolecidae,Ophiocymbium,,,,,UK-1,BGR,,,,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1106,Ophiotholia sp 41,Ophiotholia,Ophiotholia,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,242434,Ophiotholia,"Lyman, 1880",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophiohelidae,Ophiotholia,,,,,IOM,,,,,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1107,Ophioleucidae sp 42,Ophioleucidae,Ophioleucidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,123198,Ophioleucidae,"Matsumoto, 1915",Animalia,Echinodermata,Ophiuroidea,Ophioleucida,Ophioleucidae,,,,,,APEI-3,,,,,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1108,Amphioplus daleus,Silax daleus,Silax daleus,species,species,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,record,record,,megafauna,morphology and molecular data,,,,benthic,,exact,unaccepted name,accepted,1507520,Silax daleus,"(Lyman, 1879)",Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Silax,,daleus,,,UK-1,BGR,IFREMER,GSR,IOM,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1109,Ophiosphalma glabrum,Ophiosphalma glabrum,Ophiosphalma glabrum,species,species,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,record,record,,megafauna,morphology and molecular data,,,,benthic,,exact,,accepted,244923,Ophiosphalma glabrum,"(Lütken & Mortensen, 1899)",Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiosphalmidae,Ophiosphalma,,glabrum,,,UK-1,BGR,IFREMER,GSR,IOM,,,,,,table 2- what species in what contract area,y,2014,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1110,Perlophiura profundissima,Perlophiura profundissima,Perlophiura profundissima,species,species,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,record,record,,megafauna,morphology and molecular data,,,,benthic,,exact,,accepted,183343,Perlophiura profundissima,"Belyaev & Litvinova, 1972",Animalia,Echinodermata,Ophiuroidea,Ophiurida,,Perlophiura,,profundissima,,,UK-1,,,,,,,,,,table 2- what species in what contract area,y,2014,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
