Kingdom,Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Animalia,Annelida,Polychaeta,Spionida,Poecilochaetidae,,,Poecilochaetidae,Poecilochaetidae sp. (NHM_223),sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus,,Poecilochaetus,Poecilochaetus sp.1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,Aurospio,Aurospio sp. 20,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,Aurospio,Aurospio sp. 2127,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,Aurospio,Aurospio sp. 2129,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,Aurospio,Aurospio sp. 2159,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,Aurospio,Aurospio sp. 249,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,Aurospio,Aurospio sp. 80,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp. 2682,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp. 334,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp. 349,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp. 349/361,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp. 361,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp. 381,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp. 419a,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp. 89,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 14,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 14/412,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 155,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 2169,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 2611,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 268,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 2684,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 29,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp. 73,sediment,macrofauna
