rec,reference,full_citation,INCL,year_published,size_cat,descr_id_with,new_gen_data_publ,OA,oa_cat-2ndary=repositary,DESCRIPTION,TOT_SAMPLING_EVENTS,stn_tot,samplingMethod,SINGLETON_ANALYSIS,paper_singleton_count,single_my_est,single_analysis_notes,incl_notes,year_survey/coll,TO_DO-GEN_NOTES,tot_taxa/morphospp,tot_ind,area sampled,id_notes,expedition,region_sampled,new family,new genus,new species,record,temp name record,tot_taxa_records,cumul_tot,desc_tot,cumul_desc_tot,cumul_new_sp,paper_notes,functional_group/sub-cat-fauna,categ,synthesis_muli-datasets,journal,article_type,key_provided,found_via,SITE_ADDED,site_table-lat-long-depth,site_mapping,,,,,
107,Taboada_etal_2018a,"Taboada, S., Riesgo, A., Wiklund, H., Paterson, G.L., Koutsouveli, V., Santodomingo, N., Dale, A.C., Smith, C.R., Jones, D.O., Dahlgren, T.G. and Glover, A.G., 2018. Implications of population connectivity studies for the design of marine protected areas in the deep sea: An example of a demosponge from the Clarion?Clipperton Zone. Molecular ecology, 27(23), pp.4657-4679.",yes,2018,macrofauna,morphology and molecular data,yes,yes,,,,56 stations,"box core; also multicore, Brenke epibenthic sledge, Agassiz trawl and ROV",y,,,abundance counts for all samplings I think (180 tot),,2013; 2015,,1,180,,,ABYSSLINE AB01; AB02; MIDAS-JC120,,,,,1,,1,3756,0,180,148,,,,,Molecular Ecology,article,,,,,,,,,,
108,Taboada_etal_2018b,"Taboada, S., Kenny, N.J., Riesgo, A., Wiklund, H., Paterson, G.L., Dahlgren, T.G. and Glover, A.G., 2018. Mitochondrial genome and polymorphic microsatellite markers from the abyssal sponge Plenaster craigi Lim & Wiklund, 2017: tools for understanding the impact of deep-sea mining. Marine Biodiversity, 48(1), pp.621-630.",yes,2018,macrofauna,morphology and molecular data,yes,yes,,,,,"box core; also multicore, Brenke epibenthic sledge, Agassiz trawl and ROV",no,,,duplic with 2018a,,2013; 2015,,1,,,,ABYSSLINE AB01; AB02; MIDAS-JC120,,,,,1,,1,3757,0,180,148,,,,,Marine Biodiversity,article,,,,,,,,,,
18,Tilot_1992,Tilot V (1992) La structure des assemblages mégabenthiques d’une province à nodules polymétalliques de l’océan Pacifique tropical est. PhD-Thesis. Université de Bretagne Occidentale.,yes,1992,megafauna,morphology only (imagery),no,n,,,,,,no,,,no abundance,,,get copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Tilot_etal_2018,"Tilot, V., Ormond, R., Moreno Navas, J. and Catalá, T.S., 2018. The benthic megafaunal assemblages of the CCZ (Eastern Pacific) and an approach to their management in the face of threatened anthropogenic impacts. Frontiers in Marine Science, 5, p.7.",yes,2018,megafauna,morphology only (imagery),no,yes,,,,,,no,,,no- species level but from imagery only,,,email for list species by region. SPECIES BREAKDOWN BY SITE,,,,,,,,,,62,,62,3819,0,180,148,,,,,,,,,,,,,,,,
26,Trueblood&Ozturgut_1997,"Trueblood, D.D. and Ozturgut, E., 1997, May. The benthic impact experiment: A study of the ecological impacts of deep seabed mining on abyssal benthic communities. In The Seventh International Offshore and Polar Engineering Conference. OnePetro.",yes,1997,macrofauna,,no,n,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Uhlenkott_etal_2020,"Uhlenkott, K., Vink, A., Kuhn, T., Gillard, B. and Martínez Arbizu, P., 2021. Meiofauna in a Potential Deep-Sea Mining Area—Influence of Temporal and Spatial Variability on Small-Scale Abundance Models. Diversity, 13(1), p.3.",yes,2020,meiofauna,morphology only (specimens),no,yes,,,,,NA,no,,,,,NA,,,,,,NA,,,,,9,,9,3828,0,180,148,only id'd to high taxon level,,community composition/species assemblages,,Diversity,article,,,,,,,,,,
192,Uhlenkott_etal_2022,"Uhlenkott, K., Simon-Lledó, E., Vink, A. and Martínez Arbizu, P., 2022. Investigating the benthic megafauna in the eastern Clarion Clipperton Fracture Zone (north-east Pacific) based on distribution models predicted with random forest. Scientific reports, 12(1), pp.1-11.",yes,2022,megafauna,,no,yes,,,,,,poss,68,,,,,abundance info,,,"62,000km2",,,,,,,,,,,,,,numerous morphotypes,,,,,,,,,,,,,,,
84,Vanreusel_etal_2016,"Vanreusel, A., Hilario, A., Ribeiro, P.A., Menot, L. and Arbizu, P.M., 2016. Threatened by mining, polymetallic nodules are required to preserve abyssal epifauna. Scientific reports, 6(1), pp.1-6.",yes,2016,megafauna,,no,yes,,,,,,NA,,,,no- no taxonomic info,,check if data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Vecchione_2017,"Vecchione, M., 2017. Notes on cephalopods photographed near the bottom in the Clipperton-Clarion Fracture Zone. Marine Biodiversity, 47(2), pp.307-310.",yes,2017,megafauna,morphology only (ROV video),no,yes,,,,,ROV imagery,no,,,,,2004,,,,,,NODINAUT,,,,,1,,1,3829,0,180,148,,,community composition/species assemblages/distributional records,,Marine Biodiversity,article,,,,,,,,,,
46,Veillette_etal_2007,"Veillette, J., Sarrazin, J., Gooday, A.J., Galéron, J., Caprais, J.C., Vangriesheim, A., Étoubleau, J., Christian, J.R. and Juniper, S.K., 2007. Ferromanganese nodule fauna in the Tropical North Pacific Ocean: Species richness, faunal cover and spatial distribution. Deep Sea Research Part I: Oceanographic Research Papers, 54(11), pp.1912-1935.",yes,2007,macrofauna,morphology only (specimens),no,yes,,,,,NA,no,,,"mega morphotype, ROV dives- tricky site records, ",,NA,check- add records,42,,,42 spp,NA,,,,,10,7,17,3846,0,180,148,,nodule fauna,community composition/species assemblages,,,,,,,,,,,,,
61,Wang_etal_2013,"Wang, X.G., Zhou, Y.D., Zhang, D.S., Hong, L.S. and Wang, C.S., 2013. A study of meiofauna in the COMRA’s contracted area during the summer of 2005. Acta Ecol. Sin, 33, pp.492-500.",yes,2013,meiofauna,morphology only (specimens),no,n,,,,,multi core,no,,,,,,,,,,,,,,,,12,,12,3858,0,180,148,in chinese,,,,,,,,,y,,,,,,
110,Wang_etal_2018,"Wang, C., Zhang, Y., Lu, B. and Wang, D., 2018. New Hexactinellid Sponge Chaunoplectella megapora sp. nov.(Lyssacinosida: Leucopsacidae) from Clarion-Clipperton Fracture Zone, Eastern Pacific Ocean. Zootaxa, 4375(1), pp.136-142.",yes,2018,megafauna,morphology only (specimens),no,n,,y,1,1 station,ROV,y,,,,,2013,,,,,,Jiaolong HOV,,,,1,,,1,3859,1,181,149,,,taxonomy/species description,,Zootaxa,article,,,YES,,,,,,,
182,Washburn_etal_2021,"Washburn, T.W., Menot, L., Bonifácio, P., Pape, E., B?a?ewicz, M., Bribiesca-Contreras, G., Dahlgren, T.G., Fukushima, T., Glover, A.G., Ju, S.J. and Kaiser, S., 2021. Patterns of macrofaunal biodiversity across the Clarion-Clipperton Zone: an area targeted for seabed mining. Frontiers in Marine Science, 8, p.250.",yes,2021,macrofauna,morphology and molecular data,existing data,yes,,,,,box core,get data,,,separate datasets- mostly compiled,,combination,,,,,,"combination- ABYSSLINE AB01; AB02; JGOFS; JPIO; plus GSR; KODOS; YUZ, Wilson et al., 2017",,,,,122,1,123,3982,0,181,149,secondary data,,community composition/species assemblages,yes,Frontiers in Marine Science,article,,,,,,,,,,
198,Weston&Jaimeson_2022,"Weston, J.N. and Jamieson, A.J., 2022. The Multi-Ocean Distribution of the Hadal Amphipod, Hirondellea dubia (Crustacea, Amphipoda). Frontiers in Marine Science, 9, p.824640.",yes,2022,,,existing data,yes,,,,,,no,,,,like Brix 2021- using existing CCZ data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Wi_etal_2014,"Wi, J.H., Suh, H.L. and Yu, O.H., 2014. Two new species of the deep-sea genus Neotanais Beddard, 1886 (Tanaidacea: Neotanaididae) from the Eastern Central Pacific. Journal of Crustacean Biology, pp.875-885.",yes,2014,macrofauna,morphology only (specimens),no,n,,y,na,2 stations,box core,no,,,,,2014,,,,,,KODOS,,,,2,,,2,3984,2,183,151,,,taxonomy/species description,,Journal of Crustacean Biology,article,,,YES,,,,,,,
71,Wi_etal_2015a,"Wi, J.H., Suh, H.L. and Kim, D., 2015. Three New Species of the Deep-Sea Genus Collettea (Tanaidacea; Colletteidae) in the Eastern Central Pacific. Journal of Crustacean Biology, 35(5), pp.714-727.",yes,2015,macrofauna,morphology only (specimens),no,yes,,y,na,3 stations,box core,no,,,,,2014,,,,,,KODOS,,,,3,,,3,3987,3,186,154,not in Paulos report,benthic fauna/epifauna,taxonomy/species description,,Journal of Crustacean Biology,article,,,,,,,,,,
72,Wi_etal_2015b,"Wi, J.H., Suh, H.L. and Yu, O.H., 2015. Description of two new species of Neotanais Beddard, 1886 (Crustacea, Tanaidacea) from KODOS area. Zootaxa, 3926(2), pp.244-256.",yes,2015,macrofauna,morphology only (specimens),no,yes,,y,na,2 stations,box core,no,,,only paratpyes,,2015,where are tables ref'd in paper??,,,,,R/V Onnuri,,,,2,,,2,3989,2,188,156,not in Paulos report,benthic fauna/epifauna,taxonomy/species description,,Zootaxa,article,,,YES,,,,,,,
100,Wiklund_etal_2017,"Wiklund, H., Taylor, J.D., Dahlgren, T.G., Todt, C., Ikebe, C., Rabone, M. and Glover, A.G., 2017. Abyssal fauna of the UK-1 polymetallic nodule exploration area, Clarion-Clipperton Zone, central Pacific Ocean: Mollusca. ZooKeys, (707), p.1-46. https://doi.org/10.3897/zookeys.707.13042",yes,2017,macrofauna,morphology and molecular data,yes,yes,,y,add,,box core; multicorer; EBS; ROV,y,,,,,2013,,21,,,,ABYSSLINE AB01,,,,1,6,10,17,4006,1,189,157,,,taxonomy/species description/ distributional records,,Zookeys,article,,,,Y,use ABYSSLINE sites,,,,,
134,Wiklund_etal_2019,"Wiklund, H., Neal, L., Glover, A.G., Drennan, R., Rabone, M. and Dahlgren, T.G., 2019. Abyssal fauna of polymetallic nodule exploration areas, eastern Clarion-Clipperton Zone, central Pacific Ocean: Annelida: Capitellidae, Opheliidae, Scalibregmatidae, and Travisiidae. ZooKeys, 883, p 1–82. https://doi.org/10.3897/zookeys.883.36193",yes,2019,macrofauna,morphology and molecular data,yes,yes,,y,add,,box core; multicorer; EBS; ROV,y,,,,,2013; 2015,,23,85,,12 new spp,ABYSSLINE AB01; AB02,,,,12,,11,23,4029,12,201,169,,,taxonomy/species description/ distributional records,,Zookeys,article,,,,Y,use ABYSSLINE sites,,,,,
101,Wilson_2017,"Wilson, G.D., 2017. Macrofauna abundance, species diversity and turnover at three sites in the Clipperton-Clarion Fracture Zone. Marine Biodiversity, 47(2), pp.323-347.",yes,2017,macrofauna,morphology only (specimens),no,n,,,87,87 box cores (note- only 41 of 52 macrofauna samples were completely sorted),box core,y,,,note- only 41 of 52 macrofauna samples were completely sorted,poss duplic earlier reports?,NA,poss duplication with earlier studies?4,397,,,,NA,,,,,41,,41,4070,0,201,169,only id'd to high taxon level,,community composition/species assemblages,,Marine Biodiversity,article,,,,,,,,,,
111,Yu_etal_2018,"Yu, O.H., Lee, H.G., Kim, D., Wi, J.H., Kim, K.H. and Yoo, C.M., 2018. Characterization of deep-sea macrofauna in the Korean exploration claim area in the Clarion-Clipperton Fracture Zone, northeastern Pacific Ocean. Ocean Science Journal, 53(2), pp.301-314.",yes,2018,macrofauna,morphology only (specimens),no,n,,,36,,box corer,y,,,added,,2012-2014,,183,,,"183 spp in paper, 165 in table",RV Onnuri 2012-2014,,,,,72,89,161,4231,0,201,169,ref'd in Chim&Tong_2020. NB Chim and Tong list as data record for Stenotanais arenasi sp. nov.- described in larsen,,community composition/species assemblages,,Ocean Science Journal,article,,,,Y,,,,,,
203,Tong_etal_2022,"Tong et al., 2022; Community structure of deep-sea benthic metazoan meiofauna in the polymetallic nodule fields in the eastern Clarion-Clipperton Fracture Zone, Pacific Ocean",yes,2022,meiofauna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Neal_etal_in_2022b,"Abyssal fauna of polymetallic nodule exploration areas, eastern Clarion-Clipperton Zone, central Pacific Ocean: Amphinomida",poss,2022,macrofauna,,yes,yes,,y,,,,y,,,add,july 2022- not yet published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
