SAMPLING_UNIT,region,Latitude,Longitude
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
KOREA KR5_Stn. SD16,central,10.30000,-131.20000
