Site,Abundance,Species
CCZ,2,AB_ Tanaidacea sp 12
CCZ,1,AB_ Tanaidacea sp 12
CCZ,2,AB_ Tanaidacea sp 13
CCZ,2,AB_ Tanaidacea sp 13
CCZ,1,AB_ Tanaidacea sp 13
CCZ,6,AB_ Tanaidacea sp 14
CCZ,4,AB_ Tanaidacea sp 14
CCZ,2,AB_ Tanaidacea sp 14
CCZ,2,AB_ Tanaidacea sp 14
CCZ,2,AB_ Tanaidacea sp 14
CCZ,1,AB_ Tanaidacea sp 14
CCZ,4,AB_ Tanaidacea sp 15
CCZ,3,AB_ Tanaidacea sp 15
CCZ,3,AB_ Tanaidacea sp 15
CCZ,3,AB_ Tanaidacea sp 15
CCZ,1,AB_ Tanaidacea sp 15
CCZ,4,AB_ Tanaidacea sp 16
CCZ,2,AB_ Tanaidacea sp 16
CCZ,1,AB_ Tanaidacea sp 16
CCZ,1,AB_ Tanaidacea sp 16
CCZ,1,AB_ Tanaidacea sp 17
CCZ,1,AB_ Tanaidacea sp 17
CCZ,1,AB_ Tanaidacea sp 17
CCZ,1,AB_ Tanaidacea sp 17
CCZ,1,AB_ Tanaidacea sp 18
CCZ,1,AB_ Tanaidacea sp 18
CCZ,1,AB_ Tanaidacea sp 18
CCZ,1,AB_ Tanaidacea sp 19
CCZ,2,AB_ Tanaidacea sp 2
CCZ,2,AB_ Tanaidacea sp 2
CCZ,2,AB_ Tanaidacea sp 2
CCZ,1,AB_ Tanaidacea sp 2
CCZ,1,AB_ Tanaidacea sp 2
CCZ,1,AB_ Tanaidacea sp 2
CCZ,1,AB_ Tanaidacea sp 2
CCZ,1,AB_ Tanaidacea sp 2
CCZ,1,AB_ Tanaidacea sp 20
CCZ,1,AB_ Tanaidacea sp 20
CCZ,1,AB_ Tanaidacea sp 21
CCZ,1,AB_ Tanaidacea sp 21
CCZ,1,AB_ Tanaidacea sp 21
CCZ,1,AB_ Tanaidacea sp 21
CCZ,1,AB_ Tanaidacea sp 21
CCZ,2,AB_ Tanaidacea sp 22
CCZ,2,AB_ Tanaidacea sp 22
CCZ,1,AB_ Tanaidacea sp 22
CCZ,1,AB_ Tanaidacea sp 22
CCZ,1,AB_ Tanaidacea sp 23
CCZ,1,AB_ Tanaidacea sp 23
CCZ,1,AB_ Tanaidacea sp 23
CCZ,1,AB_ Tanaidacea sp 24
CCZ,1,AB_ Tanaidacea sp 25
CCZ,1,AB_ Tanaidacea sp 25
CCZ,1,AB_ Tanaidacea sp 27
CCZ,1,AB_ Tanaidacea sp 27
CCZ,1,AB_ Tanaidacea sp 28
CCZ,1,AB_ Tanaidacea sp 28
CCZ,1,AB_ Tanaidacea sp 29
CCZ,2,AB_ Tanaidacea sp 3
CCZ,2,AB_ Tanaidacea sp 3
CCZ,1,AB_ Tanaidacea sp 30
CCZ,1,AB_ Tanaidacea sp 31
CCZ,1,AB_ Tanaidacea sp 31
CCZ,1,AB_ Tanaidacea sp 32
CCZ,1,AB_ Tanaidacea sp 33
CCZ,1,AB_ Tanaidacea sp 33
CCZ,1,AB_ Tanaidacea sp 34
CCZ,1,AB_ Tanaidacea sp 36
CCZ,1,AB_ Tanaidacea sp 38
CCZ,5,AB_ Tanaidacea sp 3a
CCZ,1,AB_ Tanaidacea sp 4
CCZ,1,AB_ Tanaidacea sp 4
CCZ,2,AB_ Tanaidacea sp 5
CCZ,1,AB_ Tanaidacea sp 5
CCZ,1,AB_ Tanaidacea sp 5
CCZ,19,AB_ Tanaidacea sp 6
CCZ,11,AB_ Tanaidacea sp 6
CCZ,6,AB_ Tanaidacea sp 6
CCZ,5,AB_ Tanaidacea sp 6
CCZ,5,AB_ Tanaidacea sp 6
CCZ,1,AB_ Tanaidacea sp 6
CCZ,1,AB_ Tanaidacea sp 6
CCZ,2,AB_ Tanaidacea sp 7
CCZ,1,AB_ Tanaidacea sp 7
CCZ,2,AB_ Tanaidacea sp 8
CCZ,2,AB_ Tanaidacea sp 8
CCZ,1,AB_ Tanaidacea sp 8
CCZ,1,AB_ Tanaidacea sp 9
CCZ,1,AB_ Tanaidacea sp 9
CCZ,1,AB_ Tanaidacea sp 9
CCZ,1,AB_ Tanaidacea sp 9
