Phylum,Class,Order,Family,Genus,scientificName,taxonConceptID,size_cat
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 659-4,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 659-5,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 659-7,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 666-5,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 666-6,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 670-2,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 673,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 679,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 688,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 691,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 693,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 696,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 697,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp.A,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp.B,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp.C,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae white msp.,macrofauna
Annelida,Polychaeta,,Scalibregmatidae,Polyphysia,Polyphysia,Polyphysia sp A,macrofauna
Mollusca,Polyplacophora,,,,Polyplacophora,Polyplacophora sp. (NHM_799),macrofauna
Echinodermata,Asteroidea,Paxillosida,Porcellanasteridae,Porcellanaster,Porcellanaster,Porcellanaster sp. 2,megafauna
Echinodermata,Asteroidea,Paxillosida,Porcellanasteridae,,Porcellanasteridae,Porcellanasteridae sp. 1,megafauna
Porifera,,,,,Porifera,Porifera morphospecies,megafauna
Porifera,,,,,Porifera,Porifera morphotype 10,megafauna
Porifera,,,,,Porifera,Porifera morphotype 12,megafauna
Porifera,,,,,Porifera,Porifera morphotype 13,megafauna
Porifera,,,,,Porifera,Porifera morphotype 15,megafauna
Porifera,,,,,Porifera,Porifera morphotype 2,megafauna
Porifera,,,,,Porifera,Porifera morphotype 3,megafauna
Porifera,,,,,Porifera,Porifera morphotype 4,megafauna
Porifera,,,,,Porifera,Porifera morphotype 8,megafauna
Porifera,,,,,Porifera,Porifera morphotype 9,megafauna
Porifera,,,,,Porifera,Porifera msp-5 ,megafauna
Porifera,,,,,Porifera ,Porifera mtp-POR_101,megafauna
Porifera,,,,,Porifera,Porifera mtps,megafauna
Porifera,,,,,Porifera,Porifera sp B,megafauna
Porifera,,,,,Porifera,Porifera sp H,megafauna
Porifera,,,,,Porifera,Porifera sp I,megafauna
Porifera,,,,,Porifera,Porifera sp J,megafauna
Porifera,,,,,Porifera,Porifera sp.  a,macrofauna
Porifera,,,,,Porifera,Porifera sp.  b,macrofauna
Porifera,,,,,Porifera,Porifera sp.  c,macrofauna
Porifera,,,,,Porifera,Porifera sp.  d,macrofauna
Porifera,,,,,Porifera,Porifera sp.  e,macrofauna
Porifera,,,,,Porifera,Porifera sp. (NHM_005),megafauna
Porifera,Demospongiae,,,,Demospongiae,Porifera sp. (NHM_1045),macrofauna
Porifera,Demospongiae,,,,Demospongiae,Porifera sp. (NHM_112),macrofauna
Porifera,Demospongiae,,,,Demospongiae,Porifera sp. (NHM_1380),macrofauna
Porifera,Demospongiae,,,,Demospongiae,Porifera sp. (NHM_1404),macrofauna
Porifera,Demospongiae,,,,Demospongiae,Porifera sp. (NHM_1406),macrofauna
Porifera,Demospongiae,,,,Demospongiae,Porifera sp. (NHM_1503),macrofauna
Porifera,Demospongiae,,,,Demospongiae,Porifera sp. (NHM_1967),macrofauna
Porifera,Demospongiae,,,,Demospongiae,Porifera sp. (NHM_2173),macrofauna
Porifera,,,,,Porifera,Porifera sp. (NHM_310),megafauna
Porifera,,,,,Porifera,Porifera sp. (NHM_399),megafauna
Porifera,,,,,Porifera,Porifera sp. (NHM_457),megafauna
Porifera,Demospongiae,,,,Demospongiae,Porifera sp. (NHM_632),macrofauna
Porifera,Demospongiae,,,,Demospongiae,Porifera sp. (NHM_719),macrofauna
Porifera,Demospongiae,,,,Demospongiae,Porifera sp. (NHM_855),macrofauna
Porifera,Demospongiae,,,,Demospongiae,Porifera sp. (NHM_987),macrofauna
Porifera,,,,,Porifera,Porifera sp. 1,megafauna
Porifera,,,,,Porifera,Porifera sp. 1*,megafauna
Porifera,,,,,Porifera,Porifera sp. 10,megafauna
Porifera,,,,,Porifera,Porifera sp. 11,megafauna
Porifera,,,,,Porifera,Porifera sp. 12,megafauna
Porifera,,,,,Porifera,Porifera sp. 13,megafauna
Porifera,,,,,Porifera,Porifera sp. 14,megafauna
Porifera,,,,,Porifera,Porifera sp. 15,megafauna
Porifera,,,,,Porifera,Porifera sp. 2,megafauna
Porifera,,,,,Porifera,Porifera sp. 3,megafauna
Porifera,,,,,Porifera,Porifera sp. 4,megafauna
Porifera,,,,,Porifera,Porifera sp. 5,megafauna
Porifera,,,,,Porifera,Porifera sp. 6,megafauna
Porifera,,,,,Porifera,Porifera sp. 7,megafauna
Porifera,,,,,Porifera,Porifera sp. 8,megafauna
Porifera,,,,,Porifera,Porifera sp. 9,megafauna
Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Porogadus,Porogadus,Porogadus sp mtp 1,megafauna
Arthropoda,Malacostraca,Tanaidacea,Paratanaoidea incertae sedis,Portaratrum,Portaratrum,Portarathrum species #155,macrofauna
Arthropoda,Malacostraca,Tanaidacea,Paratanaoidea incertae sedis,Portaratrum,Portaratrum,Portarathrum species 155,macrofauna
Annelida,Polychaeta,Sabellida,Sabellidae,Potamethus,Potamethus,Potamethus sp.A,macrofauna
Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,Primnoidae,Primnoid sp. ALC018,megafauna
Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,Primnoidae,Primnoid sp. ALC019,megafauna
Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,Primnoidae,Primnoid sp. ALC020,megafauna
Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,Primnoidae,Primnoid sp. ALC021,megafauna
Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,Primnoidae,Primnoid sp. ALC030,megafauna
Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,Primnoidae,Primnoid sp. ALC032,megafauna
Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,Primnoidae,Primnoidae gen nov sp A,macrofauna
Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,Primnoidae,Primnoidae morphotype 2,megafauna
Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,Primnoidae,Primnoidae morphotype 2 ,megafauna
Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,Primnoidae ,Primnoidae mtp-ALC_002,megafauna
Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,Primnoidae ,Primnoidae mtp-ALC_038,megafauna
Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,Primnoidae ,Primnoidae mtp-ALC_039,megafauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 883,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 884,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 886,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 887,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 888,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 889,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 890,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 891,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 893,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 894,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 895,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 896,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 897,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 898,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 899,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio 900,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio sp. (NHM_135),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio sp. (NHM_1415),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio sp. (NHM_227),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio sp. (NHM_266),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio sp. (NHM_471),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio sp. (NHM_564),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio sp. (NHM_884),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio sp. (NHM_914),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio sp. 1,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio sp. 14,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio,Prionospio sp. 14/412,macrofauna
