Site,Abundance,Species,rec,size_cat,REGION,SOURCE
TOML_D_TL_9B,1,OPH_010,44399,megafauna,EAST,LIT
TOML_B_TL_01,1,POR_088,45892,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,DEC_005,41520,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,BRY_001,40731,megafauna,EAST,LIT
TOML_B_TL_01,1,ACT_071,38609,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,POR_002,45542,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,39998,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,39999,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44400,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_019,37562,megafauna,EAST,LIT
TOML_D_TL_9B,2,ACT_022,38032,megafauna,EAST,LIT
TOML_B_TL_01,1,DEC_007,41548,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,POR_088,45893,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,POR_088,45894,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ACT_004,37139,megafauna,EAST,LIT
TOML_D_TL_9B,1,AST_004,40604,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46953,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_004,37140,megafauna,EAST,LIT
TOML_B_TL_01,1,ART_001,40257,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,DEC_001,41487,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,OPH_010,44401,megafauna,EAST,LIT
TOML_B_TL_01,1,HOL_074,42788,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,ART_001,40258,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,CHO_003,41212,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ACT_004,37141,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38033,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45543,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44402,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44403,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38034,megafauna,EAST,LIT
TOML_D_TL_9B,1,AST_002,40506,megafauna,EAST,LIT
TOML_D_TL_9B,3,OPH_010,44404,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44405,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_004,47115,megafauna,EAST,LIT
TOML_B_TL_01,1,ACT_019,37406,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,ANN_003,39077,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,AST_002,40507,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45544,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45545,megafauna,EAST,LIT
TOML_D_TL_9B,1,CRI_009,41441,megafauna,EAST,LIT
TOML_D_TL_9B,1,HOL_031,42710,megafauna,EAST,LIT
TOML_B_TL_01,3,ANT_002,39628,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ANT_002,40000,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44406,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_004,37142,megafauna,EAST,LIT
TOML_D_TL_9B,1,HOL_094,43345,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46954,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44407,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44408,megafauna,EAST,LIT
TOML_B_TL_01,1,HOL_009,42543,megafauna,CENTRAL,LIT
TOML_D_TL_9B,3,OPH_010,44409,megafauna,EAST,LIT
TOML_D_TL_9B,2,ANT_002,40001,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44410,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44411,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45546,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40002,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44412,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45547,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44413,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38035,megafauna,EAST,LIT
TOML_D_TL_9B,1,DES_002,41706,megafauna,EAST,LIT
TOML_B_TL_01,1,ANN_003,39078,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,AST_004,40605,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45548,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44414,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40003,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_033,42371,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44415,megafauna,EAST,LIT
TOML_D_TL_9B,1,ALC_030,38988,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45549,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40004,megafauna,EAST,LIT
TOML_B_TL_01,1,ACT_019,37407,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,POR_002,45550,megafauna,EAST,LIT
TOML_B_TL_01,1,POR_088,45895,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,URC_003,46388,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ACT_022,38036,megafauna,EAST,LIT
TOML_D_TL_9B,1,ALC_030,38989,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44416,megafauna,EAST,LIT
TOML_B_TL_01,1,ACT_004,36876,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ACT_061,38437,megafauna,EAST,LIT
TOML_D_TL_9B,2,URC_003,46955,megafauna,EAST,LIT
TOML_D_TL_9B,2,ART_001,40345,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_034,42388,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44417,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40005,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_004,47116,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_061,38438,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38037,megafauna,EAST,LIT
TOML_D_TL_9B,1,BRY_006,41040,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44418,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46956,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38038,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44419,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_068,38586,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44420,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_004,37143,megafauna,EAST,LIT
TOML_D_TL_9B,1,AST_002,40508,megafauna,EAST,LIT
TOML_B_TL_01,1,ACT_022,37660,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,URC_003,46957,megafauna,EAST,LIT
TOML_D_TL_9B,1,HOL_095,43347,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_015,42162,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_004,37144,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_041,38379,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45551,megafauna,EAST,LIT
TOML_B_TL_01,1,ACT_071,38610,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,HOL_105,43484,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,OPH_010,44421,megafauna,EAST,LIT
TOML_B_TL_01,1,ACT_028,38152,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,HEX_030,42282,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,DES_002,41707,megafauna,EAST,LIT
TOML_D_TL_9B,1,DES_004,41710,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44422,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40006,megafauna,EAST,LIT
TOML_B_TL_01,1,ANN_003,39079,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,ANN_003,39080,megafauna,CENTRAL,LIT
TOML_B_TL_01,2,AST_002,40463,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ANT_010,40222,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44423,megafauna,EAST,LIT
TOML_B_TL_01,1,ACT_004,36877,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,OPH_010,44424,megafauna,EAST,LIT
TOML_B_TL_01,1,BRY_009,41052,megafauna,CENTRAL,LIT
TOML_D_TL_9B,2,OPH_010,44425,megafauna,EAST,LIT
TOML_D_TL_9B,1,BRY_001,40732,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44426,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45552,megafauna,EAST,LIT
TOML_B_TL_01,1,HOL_104,43425,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ACT_022,38039,megafauna,EAST,LIT
TOML_D_TL_9B,2,ALC_004,38777,megafauna,EAST,LIT
TOML_B_TL_01,1,ANN_003,39081,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ACT_061,38439,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38040,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44427,megafauna,EAST,LIT
TOML_B_TL_01,1,ACT_041,38320,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,ANN_003,39082,megafauna,CENTRAL,LIT
TOML_D_TL_9B,2,ANT_002,40007,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44428,megafauna,EAST,LIT
TOML_D_TL_9B,1,ALC_033,39008,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44429,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45553,megafauna,EAST,LIT
TOML_B_TL_01,1,HEX_002,41750,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ANT_002,40008,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44430,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46958,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44431,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44432,megafauna,EAST,LIT
TOML_B_TL_01,1,ANT_002,39629,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ACT_022,38041,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44433,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40009,megafauna,EAST,LIT
TOML_D_TL_9B,1,CHO_015,41311,megafauna,EAST,LIT
TOML_B_TL_01,1,HOL_001,42405,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ACT_022,38042,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_002,43591,megafauna,EAST,LIT
TOML_D_TL_9B,3,OPH_010,44434,megafauna,EAST,LIT
TOML_D_TL_9B,1,AST_004,40606,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44435,megafauna,EAST,LIT
TOML_D_TL_9B,1,BRY_006,41041,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44436,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45554,megafauna,EAST,LIT
TOML_B_TL_01,1,AST_002,40464,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,OPH_010,44437,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44438,megafauna,EAST,LIT
TOML_B_TL_01,1,ANN_003,39083,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ACT_004,37145,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44439,megafauna,EAST,LIT
TOML_D_TL_9B,2,POR_002,45555,megafauna,EAST,LIT
TOML_B_TL_01,1,HEX_015,41968,megafauna,CENTRAL,LIT
TOML_D_TL_9B,2,ACT_022,38043,megafauna,EAST,LIT
TOML_B_TL_01,1,HOL_041,42725,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ALC_009,38914,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44440,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45556,megafauna,EAST,LIT
TOML_B_TL_01,1,ANT_002,39630,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,ALC_030,38944,megafauna,CENTRAL,LIT
TOML_B_TL_01,1,POR_088,45896,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ACT_035,38203,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40010,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38044,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45557,megafauna,EAST,LIT
TOML_B_TL_01,1,ANT_002,39631,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ACT_022,38045,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_002,41835,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44441,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45558,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_002,41836,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_016,42200,megafauna,EAST,LIT
TOML_B_TL_01,1,DEC_007,41549,megafauna,CENTRAL,LIT
TOML_D_TL_9B,1,ALC_008,38843,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_004,37146,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45559,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_015,42163,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44442,megafauna,EAST,LIT
TOML_D_TL_9B,1,BRY_002,40830,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_019,37563,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44443,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44444,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANN_003,39456,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44445,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_022,42242,megafauna,EAST,LIT
TOML_D_TL_9B,1,HOL_104,43469,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38046,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44446,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45560,megafauna,EAST,LIT
TOML_D_TL_9B,1,BRY_001,40733,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38047,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38048,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44447,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45561,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44448,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44449,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_004,37147,megafauna,EAST,LIT
TOML_D_TL_9B,1,BRY_006,41042,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_004,37148,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45562,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46959,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44450,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_004,37149,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38049,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38050,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40011,megafauna,EAST,LIT
TOML_D_TL_9B,1,CRI_003,41408,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44451,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44452,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44453,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45563,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44454,megafauna,EAST,LIT
TOML_D_TL_9B,3,OPH_010,44455,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANN_003,39457,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_015,42164,megafauna,EAST,LIT
TOML_D_TL_9B,2,ACT_022,38051,megafauna,EAST,LIT
TOML_D_TL_9B,1,AST_004,40607,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44456,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40012,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44457,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_019,37564,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44458,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_004,37150,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44459,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_019,37565,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44460,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANN_003,39458,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_015,42165,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44461,megafauna,EAST,LIT
TOML_D_TL_9B,1,HOL_008,42532,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45564,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38052,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45565,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44462,megafauna,EAST,LIT
TOML_D_TL_9B,1,BRY_003,40960,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44463,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_019,37566,megafauna,EAST,LIT
TOML_D_TL_9B,1,ALC_004,38778,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45566,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40013,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44464,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38053,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_029,45720,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_009,37264,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38054,megafauna,EAST,LIT
TOML_D_TL_9B,1,CER_008,41207,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44465,megafauna,EAST,LIT
TOML_D_TL_9B,1,ALC_004,38779,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44466,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44467,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANN_003,39459,megafauna,EAST,LIT
TOML_D_TL_9B,1,CRI_009,41442,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_010,40223,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44468,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44469,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_014,41950,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_004,37151,megafauna,EAST,LIT
TOML_D_TL_9B,1,AST_014,40664,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44470,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45567,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44471,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38055,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_020,45095,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_019,37567,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44472,megafauna,EAST,LIT
TOML_D_TL_9B,3,OPH_010,44473,megafauna,EAST,LIT
TOML_D_TL_9B,1,HOL_104,43470,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_038,38280,megafauna,EAST,LIT
TOML_D_TL_9B,1,ART_028,40443,megafauna,EAST,LIT
TOML_D_TL_9B,1,BRY_002,40831,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44474,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46960,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_002,36807,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38056,megafauna,EAST,LIT
TOML_D_TL_9B,1,BRY_004,40997,megafauna,EAST,LIT
TOML_D_TL_9B,1,CHO_010,41253,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44475,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44476,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_014,45018,megafauna,EAST,LIT
TOML_D_TL_9B,2,URC_003,46961,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38057,megafauna,EAST,LIT
TOML_D_TL_9B,1,AST_004,40608,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44477,megafauna,EAST,LIT
TOML_D_TL_9B,1,BRY_006,41043,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44478,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_068,38587,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44479,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45568,megafauna,EAST,LIT
TOML_D_TL_9B,2,ACT_022,38058,megafauna,EAST,LIT
TOML_D_TL_9B,1,ALC_030,38990,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44480,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANN_003,39460,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44481,megafauna,EAST,LIT
TOML_D_TL_9B,1,CHO_010,41254,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46962,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44482,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44483,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44484,megafauna,EAST,LIT
TOML_D_TL_9B,1,ALC_030,38991,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44485,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46963,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46964,megafauna,EAST,LIT
TOML_D_TL_9B,1,HOL_008,42533,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46965,megafauna,EAST,LIT
TOML_D_TL_9B,1,CHO_016,41332,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38059,megafauna,EAST,LIT
TOML_D_TL_9B,2,POR_002,45569,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44486,megafauna,EAST,LIT
TOML_D_TL_9B,1,AST_004,40609,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44487,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44488,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46966,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_061,38440,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANN_003,39461,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44489,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46967,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44490,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_082,45813,megafauna,EAST,LIT
TOML_D_TL_9B,1,ART_010,40385,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44491,megafauna,EAST,LIT
TOML_D_TL_9B,1,ALC_004,38780,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44492,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_003,46968,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45570,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40014,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_015,42166,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44493,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40015,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44494,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_004,47117,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45571,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_019,42220,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44495,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44496,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44497,megafauna,EAST,LIT
TOML_D_TL_9B,2,POR_002,45572,megafauna,EAST,LIT
TOML_D_TL_9B,1,ART_001,40346,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_002,41837,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44498,megafauna,EAST,LIT
TOML_D_TL_9B,3,POR_002,45573,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38060,megafauna,EAST,LIT
TOML_D_TL_9B,1,ALC_004,38781,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44499,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_002,36808,megafauna,EAST,LIT
TOML_D_TL_9B,1,BRY_003,40961,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44500,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_002,41838,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44501,megafauna,EAST,LIT
TOML_D_TL_9B,1,HOL_104,43471,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45574,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45575,megafauna,EAST,LIT
TOML_D_TL_9B,1,CHO_016,41333,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44502,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44503,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44504,megafauna,EAST,LIT
TOML_D_TL_9B,1,URC_004,47118,megafauna,EAST,LIT
TOML_D_TL_9B,1,HOL_008,42534,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_010,40224,megafauna,EAST,LIT
TOML_D_TL_9B,1,POR_002,45576,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_015,42167,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44505,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38061,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_002,40016,megafauna,EAST,LIT
TOML_D_TL_9B,1,CHO_016,41334,megafauna,EAST,LIT
TOML_D_TL_9B,1,ACT_022,38062,megafauna,EAST,LIT
TOML_D_TL_9B,1,AST_004,40610,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_034,42389,megafauna,EAST,LIT
TOML_D_TL_9B,1,OPH_010,44506,megafauna,EAST,LIT
TOML_D_TL_9B,2,POR_002,45577,megafauna,EAST,LIT
TOML_D_TL_9B,1,ART_008,40368,megafauna,EAST,LIT
TOML_D_TL_9B,1,ANT_011,40240,megafauna,EAST,LIT
TOML_D_TL_9B,2,OPH_010,44507,megafauna,EAST,LIT
TOML_D_TL_9B,1,HEX_015,42168,megafauna,EAST,LIT
