Site,Abundance,Species,rec,size_cat,REGION,SOURCE
KOREA1 KR5 (B2+B1) MNBS1919,1,(elongata),17884,macrofauna,central,DD
KOREA1 KR5 (B2+B1) MNBC1921,1,(indet),17773,macrofauna,central,DD
KOREA1 KR5 (B2+B1) MNBC1907,1,(Jasmineira?) sp. 3,17605,macrofauna,central,DD
BGR1 OA BGR1 #80EBS,1,?Leanira sp. 1,1827,macrofauna,central,DD
BGR1 OA BGR1 #80EBS,1,?Leanira sp. 1,1153,macrofauna,central,DD
BGR1 OA BGR1 #80EBS,1,?Leanira sp. 1,1102,macrofauna,central,DD
BGR1 OA BGR1 #73EBS,1,?Leanira sp. 1,1763,macrofauna,central,DD
BGR1 OA BGR1 #73EBS,1,?Leanira sp. 1,1762,macrofauna,central,DD
BGR1 OA BGR1 #73EBS,1,?Leanira sp. 1,1060,macrofauna,central,DD
BGR1 OA BGR1 #73EBS,1,?Leanira sp. 1,1059,macrofauna,central,DD
BGR1 OA BGR1 #73EBS,1,?Leanira sp. 1,1005,macrofauna,central,DD
BGR1 OA BGR1 #73EBS,1,?Leanira sp. 1,1004,macrofauna,central,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6479,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6478,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6477,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6476,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6475,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6474,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6473,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6372,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6371,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6370,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6369,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6368,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6367,macrofauna,east,DD
BGR1 BGR east #12EBS,1,?Leanira sp. 1,6366,macrofauna,east,DD
BGR1 OA BGR1 #107EBS,1,?Leanira sp. 1,435,macrofauna,central,DD
BGR1 OA BGR1 #107EBS,1,?Leanira sp. 1,350,macrofauna,central,DD
UKSRL1 UK-1 UK1-A-A,3,AB_ Acrocirridae sp 1,21169,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-J,1,AB_ Acrocirridae sp 1,24243,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-H,1,AB_ Acrocirridae sp 1,23877,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-F,1,AB_ Acrocirridae sp 1,23432,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-B,3,AB_ Acrocirridae sp 2,21883,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-J,2,AB_ Acrocirridae sp 3,24244,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-L,1,AB_ Acrocirridae sp 4,24759,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-E,1,AB_ Acrocirridae sp 5,22515,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-I,1,AB_ Ampharetidae sp 1,24132,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-H,1,AB_ Ampharetidae sp 1,23878,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-D,1,AB_ Ampharetidae sp 1,22288,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-A,1,AB_ Ampharetidae sp 1,21170,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-K,1,AB_ Ampharetidae sp 2,24525,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-B,1,AB_ Ampharetidae sp 2,21885,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-B,1,AB_ Ampharetidae sp 3,21886,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-A,1,AB_ Amphipod Type 1,21206,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-L,1,AB_ Amphipod Type 10,24788,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-A,1,AB_ Amphipod Type 2,21207,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-C,1,AB_ Amphipod Type 3,22199,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-E,1,AB_ Amphipod Type 4,22538,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-F,2,AB_ Amphipod Type 5,23465,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-F,1,AB_ Amphipod Type 6,23466,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-F,9,AB_ Amphipod Type 6B,23467,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-K,1,AB_ Amphipod Type 7,24555,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-K,3,AB_ Amphipod Type 8,24556,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-H,1,AB_ Amphipod Type 8,23905,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-K,1,AB_ Amphipod Type 9,24557,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-J,1,AB_ Apistobranchidae sp 1,24246,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-A,2,AB_ Aplacophora sp 1,21229,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-B,1,AB_ Aplacophora sp 1,21955,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-B,1,AB_ Bivalvia sp 1,21958,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-J,1,AB_ Bivalvia sp 10,24308,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-I,1,AB_ Bivalvia sp 10,24188,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-H,1,AB_ Bivalvia sp 10,23924,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-G,1,AB_ Bivalvia sp 10,23594,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-F,1,AB_ Bivalvia sp 10,23494,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-A,1,AB_ Bivalvia sp 10,21235,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-J,3,AB_ Bivalvia sp 11,24309,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-H,1,AB_ Bivalvia sp 11,23925,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-G,1,AB_ Bivalvia sp 11,23595,macrofauna,east,DD
