Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Annelida,Polychaeta,,Scalibregmatidae,,,Scalibregmatidae,AB_ Scalibregmatidae sp 2,sediment,macrofauna
Annelida,Polychaeta,,Scalibregmatidae,,,Scalibregmatidae,AB_ Scalibregmatidae sp 3,sediment,macrofauna
Annelida,Polychaeta,Sabellida,Serpulidae,,,Serpulidae,AB_ Serpulidae sp 1,nodule,macrofauna
Annelida,Polychaeta,Sabellida,Serpulidae,,,Serpulidae,AB_ Serpulidae sp 2,nodule,macrofauna
Annelida,Polychaeta,Sabellida,Serpulidae,,,Serpulidae,AB_ Serpulidae sp 3,nodule,macrofauna
Annelida,Polychaeta,Sabellida,Serpulidae,,,Serpulidae,AB_ Serpulidae sp 4,nodule,macrofauna
Annelida,Polychaeta,Sabellida,Serpulidae,,,Serpulidae,AB_ Serpulidae sp 5,nodule,macrofauna
Annelida,Polychaeta,Phyllodocida,Sigalionidae,,,Sigalionidae,AB_ Sigalionidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Sigalionidae,,,Sigalionidae,AB_ Sigalionidae sp 2,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,,,Sphaerodoridae,AB_ Sphaerodoridae sp 1,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,,,Sphaerodoridae,AB_ Sphaerodoridae sp 2,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,cf Laonice sp. 580,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,Spionidae sp. 2316,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,Spionidae sp. 271,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,Spionidae sp. 470,sediment,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,Spionidae sp. 573,sediment,macrofauna
