"","Species","Individuals"
"N15261",1721.73302569349,15261
"N15281",1723.04395465208,15281
"N15301",1724.35392244788,15301
"N15321",1725.6629306756,15321
"N15341",1726.97098105626,15341
"N15361",1728.27807515064,15361
"N15381",1729.58421467547,15381
"N15401",1730.88940118969,15401
"N15421",1732.19363634,15421
"N15441",1733.49692181034,15441
"N15461",1734.79925914569,15461
"N15481",1736.10064997966,15481
"N15501",1737.40109589763,15501
"N15521",1738.70059854789,15521
"N15541",1739.999159491,15541
"N15561",1741.29678034877,15561
"N15581",1742.59346268768,15581
"N15601",1743.88920810694,15601
"N15621",1745.18401816971,15621
"N15641",1746.47789446621,15641
"N15661",1747.77083855966,15661
"N15681",1749.06285202529,15681
"N15701",1750.35393642527,15701
"N15721",1751.64409330849,15721
"N15741",1752.93332423762,15741
"N15761",1754.22163076251,15761
"N15781",1755.50901441351,15781
"N15801",1756.79547674012,15801
"N15821",1758.08101927796,15821
"N15841",1759.36564358007,15841
"N15861",1760.64935112813,15861
"N15881",1761.93214346416,15881
"N15901",1763.2140221262,15901
"N15921",1764.49498860073,15921
"N15941",1765.77504444411,15941
"N15961",1767.05419108194,15961
"N15981",1768.3324300892,15981
"N16001",1769.60976291343,16001
"N16021",1770.88619109182,16021
"N16041",1772.16171610919,16041
"N16061",1773.4363394191,16061
"N16081",1774.71006251254,16081
"N16101",1775.98288686234,16101
"N16121",1777.25481398104,16121
"N16141",1778.52584527401,16141
"N16161",1779.79598226306,16161
"N16181",1781.06522638203,16181
"N16201",1782.3335790654,16201
"N16221",1783.60104179363,16221
"N16241",1784.86761604497,16241
"N16261",1786.13330317355,16261
"N16281",1787.39810471022,16281
"N16301",1788.66202204285,16301
"N16321",1789.92505663006,16321
"N16341",1791.18720988594,16341
"N16361",1792.44848320993,16361
"N16381",1793.70887808573,16381
"N16401",1794.9683958755,16401
"N16421",1796.22703802137,16421
"N16441",1797.48480590438,16441
"N16461",1798.7417009476,16461
"N16481",1799.99772455266,16481
"N16501",1801.25287813844,16501
"N16521",1802.50716303921,16521
"N16541",1803.76058069867,16541
"N16561",1805.01313250193,16561
"N16581",1806.26481980395,16581
"N16601",1807.51564400056,16601
"N16621",1808.76560644167,16621
"N16641",1810.01470853925,16641
"N16661",1811.26295163477,16661
"N16681",1812.51033711426,16681
"N16701",1813.75686630317,16701
"N16721",1815.00254057802,16721
"N16741",1816.24736127892,16741
"N16761",1817.49132976698,16761
"N16781",1818.73444741283,16781
"N16801",1819.97671550719,16801
"N16821",1821.21813543268,16821
"N16841",1822.45870847778,16841
"N16861",1823.69843603606,16861
"N16881",1824.93731939034,16881
"N16901",1826.17535989165,16901
"N16921",1827.4125588274,16921
"N16941",1828.64891751408,16941
"N16961",1829.88443730996,16961
"N16981",1831.1191194949,16981
"N17001",1832.35296538883,17001
"N17021",1833.58597626239,17021
"N17041",1834.81815346597,17041
"N17061",1836.04949825944,17061
"N17081",1837.28001193954,17081
"N17101",1838.50969581473,17101
"N17121",1839.73855117079,17121
"N17141",1840.96657924712,17141
